epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9406,1.98745,4.72294,2.10704,0.43925,0.09841,0.06633,0.03382,2.98337,4.39014,2.72256,0.00027151,0.00027151,0.00027151
2,25.7612,2.11533,3.7755,2.12618,0.00145,0.23333,0.00288,0.00094,2.82825,7.0602,3.59668,0.000502136,0.000502136,0.000502136
3,34.367,2.12127,3.52689,2.23456,0.0097,0.17143,0.00748,0.00158,3.03413,255.086,5.09723,0.000676174,0.000676174,0.000676174
4,43.0857,2.29015,3.65814,2.35658,0.0097,0.17143,0.00748,0.00158,2.25894,inf,3.23304,0.000793624,0.000793624,0.000793624
5,51.4279,2.13228,3.39758,2.26809,0.18507,0.08095,0.03738,0.01284,2.66401,297.32,3.56746,0.000854485,0.000854485,0.000854485
6,60.4884,2.26266,3.23941,2.28277,0.04164,0.16349,0.02478,0.01666,2.71748,96.3562,3.21406,0.000721645,0.000721645,0.000721645
7,68.6995,2.01713,2.82314,2.05247,0.10808,0.09683,0.05436,0.0183,2.80235,inf,4.08499,0.000580174,0.000580174,0.000580174
8,78.1675,2.0517,2.62287,2.12978,0.06723,0.32698,0.0376,0.01323,2.38596,68.269,2.78739,0.000438703,0.000438703,0.000438703
9,86.7176,1.91878,2.44274,2.01485,0.12418,0.36478,0.09797,0.0418,2.19605,3.80613,2.71446,0.000297232,0.000297232,0.000297232
10,97.0779,1.84143,2.32376,1.94856,0.38547,0.3827,0.35108,0.1714,2.36971,2.91386,3.04137,0.000155761,0.000155761,0.000155761
