epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.121,1.95537,4.38364,1.98216,0.41751,0.13175,0.03733,0.01428,2.48591,6.73142,2.22856,0.00027151,0.00027151,0.00027151
2,25.8868,1.98616,3.26006,1.88804,0.39545,0.09683,0.03219,0.00912,2.43881,5.9748,2.68598,0.000551793,0.000551793,0.000551793
3,36.1746,2.10048,3.09038,2.03359,0.00967,0.01587,0.00309,0.001,2.9643,29.326,3.80541,0.000826416,0.000826416,0.000826416
4,44.0058,2.16656,3.38093,2.07125,8e-05,0.03333,6e-05,2e-05,3.96399,inf,57.749,0.00109538,0.00109538,0.00109538
5,54.4021,2.18168,3.40074,2.20338,0.00016,0.06667,9e-05,2e-05,3.47254,inf,23.821,0.00135869,0.00135869,0.00135869
6,62.2989,2.08355,2.9121,2.02301,0.00016,0.06667,9e-05,2e-05,4.11998,inf,715.08,0.00135826,0.00135826,0.00135826
7,71.9488,2.23504,2.91117,2.10187,0.00032,0.16667,0.00024,5e-05,4.28426,inf,16.2044,0.00134412,0.00134412,0.00134412
8,79.5936,2.23374,2.90316,2.22216,0.36317,0.24921,0.01072,0.00346,3.21793,inf,5.20267,0.00132997,0.00132997,0.00132997
9,88.9403,2.05871,2.74212,2.0908,0.09936,0.13175,0.03561,0.01171,2.34176,10.0056,3.18087,0.00131582,0.00131582,0.00131582
10,96.3474,2.19222,2.82733,2.20384,0.40895,0.04762,0.03025,0.00872,2.66618,13.3661,3.61761,0.00130168,0.00130168,0.00130168
11,105.959,1.9346,2.52366,1.93184,0.49083,0.15427,0.10556,0.04603,2.64399,5.69745,3.17103,0.00128753,0.00128753,0.00128753
12,115.221,2.02795,2.43914,2.04016,0.13708,0.18889,0.1486,0.06537,2.36913,6.9999,2.86693,0.00127338,0.00127338,0.00127338
13,124.692,1.97727,2.41637,2.03341,0.53109,0.16667,0.20717,0.11225,2.58474,12.2998,3.31627,0.00125923,0.00125923,0.00125923
