epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.638,1.61337,3.75531,3.66045,1.69896,0.00352,0.59375,0.009,0.00394,0.00222,0.375,0.00319,0.00114,1.84719,4.18968,3.61916,2.04526,0.00012,0.00012,0.00012
2,17.137,1.48505,2.98213,3.3049,1.5328,0.005,0.84375,0.07001,0.02419,0.00315,0.53125,0.0501,0.01797,1.82039,4.12263,3.4235,1.84957,0.000258713,0.000258713,0.000258713
3,22.6867,1.40807,2.60948,2.94677,1.37568,0.00519,0.875,0.19531,0.0717,0.00463,0.78125,0.1642,0.05495,1.68051,4.10921,3.25332,1.66079,0.00039604,0.00039604,0.00039604
4,25.9128,1.36291,2.48292,2.52178,1.35231,0.00574,0.96875,0.22603,0.10381,0.005,0.84375,0.14283,0.06509,1.73747,5.2453,3.1783,1.79906,0.000531981,0.000531981,0.000531981
5,29.1217,1.29944,2.33057,2.13092,1.32189,0.00556,0.9375,0.18535,0.09759,0.00481,0.8125,0.15434,0.05752,1.80512,5.8526,3.17893,2.06169,0.000666536,0.000666536,0.000666536
6,32.3036,1.37145,2.45363,2.22574,1.38669,1,0.0936,0.2044,0.08747,1,0.0936,0.20231,0.08364,2.24637,6.20116,3.41759,2.39819,0.000799705,0.000799705,0.000799705
7,37.1289,1.37517,2.28545,2.11608,1.34636,0.00537,0.90625,0.10825,0.04567,0.0037,0.625,0.10735,0.03639,1.8721,7.6389,3.34571,1.9193,0.000931488,0.000931488,0.000931488
8,41.6679,1.39079,2.44884,2.11079,1.37395,0.40318,0.08542,0.19855,0.07236,0.3932,0.08214,0.15037,0.07149,2.00197,8.96903,3.24239,2.17196,0.00106188,0.00106188,0.00106188
9,44.8223,1.45432,2.30043,1.9748,1.39263,0.25294,0.09534,0.10872,0.0493,0.24496,0.07163,0.09138,0.04918,2.28828,9.81108,3.51091,2.86504,0.0011909,0.0011909,0.0011909
10,47.8241,1.40895,2.41415,1.99741,1.40935,0.09107,0.0625,0.05488,0.02289,0.14932,0.09375,0.03928,0.01205,2.16959,9.20032,3.39774,2.42912,0.00131852,0.00131852,0.00131852
11,50.9279,1.3992,2.38307,1.89698,1.33893,0.31744,0.21875,0.17907,0.09649,0.51168,0.125,0.1291,0.04679,2.06657,11.3266,3.12047,2.36841,0.00144476,0.00144476,0.00144476
12,55.5726,1.39135,2.2814,1.87921,1.31987,0.16355,0.34375,0.16678,0.07906,0.3539,0.125,0.11361,0.063,2.1438,11.4741,3.55465,2.73544,0.00156961,0.00156961,0.00156961
13,60.041,1.40515,2.36805,1.99933,1.34931,0.10387,0.28125,0.10278,0.04107,0.29184,0.0625,0.07565,0.04176,2.17428,11.282,4.06193,2.78633,0.00169308,0.00169308,0.00169308
14,63.2291,1.45582,2.49744,1.99682,1.42803,0.19964,0.09375,0.05939,0.01274,0.16949,0.0625,0.0325,0.01071,2.28974,10.6546,4.41946,3.03749,0.00181516,0.00181516,0.00181516
